Num. particules,Block size,Time (ms)
100,16,157
100,32,162
100,64,183
100,128,182
100,256,179
1000,16,177
1000,32,178
1000,64,163
1000,128,130
1000,256,178
5000,16,184
5000,32,184
5000,64,184
5000,128,166
5000,256,135
10000,16,189
10000,32,188
10000,64,171
10000,128,189
10000,256,190
50000,16,220
50000,32,193
50000,64,214
50000,128,213
50000,256,215
100000,16,252
100000,32,206
100000,64,243
100000,128,239
100000,256,239
500000,16,542
500000,32,431
500000,64,371
500000,128,407
500000,256,399
1000000,16,774
1000000,32,666
1000000,64,646
1000000,128,641
1000000,256,652
10000000,16,6544
10000000,32,5848
10000000,64,5214
10000000,128,5242
10000000,256,5306
